GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sakiladbapi,com.example.sakiladbapi.input,FilmInput,66,0,0,0,11,0,19,0,19,0
sakiladbapi,com.example.sakiladbapi.input,ActorInput,115,0,22,0,3,0,20,0,9,0
sakiladbapi,com.example.sakiladbapi.input,RentalInput,45,0,0,0,8,0,13,0,13,0
sakiladbapi,com.example.sakiladbapi.input,FilmTextInput,17,0,0,0,4,0,5,0,5,0
sakiladbapi,com.example.sakiladbapi.models,FilmModel,50,0,0,0,13,0,10,0,10,0
sakiladbapi,com.example.sakiladbapi.models,ActorModel,40,0,0,0,9,0,9,0,9,0
sakiladbapi,com.example.sakiladbapi.entities,SpecialFeaturesEnum,3,0,0,0,1,0,1,0,1,0
sakiladbapi,com.example.sakiladbapi.entities,FilmText,24,0,0,0,5,0,7,0,7,0
sakiladbapi,com.example.sakiladbapi.entities,Film,102,0,0,0,17,0,28,0,28,0
sakiladbapi,com.example.sakiladbapi.entities,RatingsEnum,3,0,0,0,1,0,1,0,1,0
sakiladbapi,com.example.sakiladbapi.entities,Actor,26,23,0,0,4,8,6,3,6,3
sakiladbapi,com.example.sakiladbapi.entities,Rental,52,0,0,0,9,0,15,0,15,0
sakiladbapi,com.example.sakiladbapi,SakiladbapiApplication,8,0,0,0,3,0,2,0,2,0
sakiladbapi,com.example.sakiladbapi.controllers,FilmTextController,68,0,4,0,16,0,9,0,7,0
sakiladbapi,com.example.sakiladbapi.controllers,ActorController,88,11,0,0,20,4,8,2,8,2
sakiladbapi,com.example.sakiladbapi.controllers,FilmController,110,0,18,0,29,0,15,0,6,0
sakiladbapi,com.example.sakiladbapi.controllers,RentalController,96,0,12,0,24,0,13,0,7,0
sakiladbapi,com.example.sakiladbapi.services,ActorService,99,0,2,0,16,0,10,0,9,0
